idproduto;artigo;descricao;preco;stock;idcategoria
668;WIR136;Adaptador s/fios Compact Flash 11Mbps IEEE 802.11b DCF-660W;55.00;28;43
669;PGR180;TV TUNER Pinnacle Studio PCTV RETAIL;64.00;13;21
670;MEM072;256 MB DIMM DDR PC400 Kingston Garantia de 10 Anos;32.00;9;15
671;REC530;Tinteiro Reciclado LEXMARK 17G0060 N60 Cres;21.00;27;33
672;RAT116;Mouse Logitech Notebooks Optical BLACK;23.00;19;20
673;WBC038;Logitech QuickCam ZOOM Refresh - 961325-0914;62.00;36;28
674;AFU031;FLASH DRIVE TwinMos USB Mini HDD 512MB USB 2.0;36.00;36;29
675;TNT140;T543200 - EPSON Azul Stylus Pro 7600 / 9600;48.00;4;33
676;COL103;COLUNAS Creative Creative I-Trigue 3200;59.00;37;25
677;REC019;Toner Reciclado EPSON SO50087 EPL 5900L/5900;43.00;41;33
678;FSM144;Secure Digital SOCKET Card Wi-Fi 802.11b - WL6202-498;88.00;37;40
679;MED069;CD-R 48x Verbatim 700MB Cake retail 100 - Crystal -Super AZO;36.00;3;33
680;FSM090;Multimedia Card / MMC TWINMOS 1Gb;66.00;13;40
681;COO021;Cooler Cooler Master HYPER48 SK478/775/754/939/940;52.00;24;43
682;PDA043;Acessorio PDA PALM HotSync Cable-Serie - P10804U;24.00;38;6
683;IMP363;HP Deskjet 5740 - C9016B;85.00;25;24
684;AFU093;Kingston DataTraveler II Plus DTII+M/1Gb  Migo Edition;90.00;45;29
685;PRE110;Adaptador D-Link 10/100Mbps PC Card (32bit) - Direct Port;26.00;39;43
686;TNT603;Lexmark Photo 3200/5000/Z31/Z32- 12A1990;22.00;9;33
687;REC108;Toner Reciclado MINOLTA  2300 Preto;54.00;26;33
688;UPS042;Bloco 8 tomadas MGE Pulsar CL8 c/protec. telef./TV - 66522;62.00;13;27
689;CPU259;Intel Celeron D 330J 2.667GHz 256K skt 775 Cache;91.00;38;14
690;PGR475;GECUBE ATI RADEON 9550 256MB DDR DVI / TVOUT;84.00;13;17
691;FON007;Fonte Alimentao CHIEFTEC 360W Dual Fan PFC P3/P4/AMD;58.00;25;39
692;FSM139;Transcend 5 em 1PC Card Adapter;20.00;9;40
693;FSM022;Memory Stick LEXAR 64Mb;24.00;10;40
694;TNT122;S020097 - EPSON Cor Stylus Color 200/500;30.00;21;33
695;REC092;Toner Reciclado LEXMARK Network Printer 12/ 4312;23.00;22;33
696;WIR148;D-Link Antena omnidireccional 4dBi interior tecto ANT24-0401;78.00;41;43
697;ROU014;Router LONGSHINE w/ADSL-Modem/ Firewall/ 4x10/100 RDIS;67.00;7;30
698;REC086;Toner Reciclado KYOCERA TK-16H FS 600/680/800;25.00;20;33
699;MBO307;ASUS A7N8X-X NFORCE2400 3DDR400/333/FSB333/133*2/AGP8X/REDE;64.00;49;13
700;PRE038;Servidor Impresso D-LINK 1Paralela IP+IPX 301P;81.00;36;43
701;PRE083;Switch SMC EZ Connect 16x10/100 - SMCEZ6516TX;53.00;19;43
702;MBO355;ASUS P4S800-MX SIS 661FX/FSB800/2DDR400/VGA64Mb/AGP8X;57.00;25;13
703;PSO096;Placa Som Sound Blaster Live 24Bits Externa - 70SB049000004;59.00;11;18
704;MBO363;MSI nForce 3NEO-FSR DDR RAID/Firewire/SATA/GLAN;84.00;5;13
705;AFU083;Transcend JetFlash 2.0 128MB USB 2.0;22.00;33;29
706;TNT070;T009401- EPSON STYLUS PHOTO 1270 - COR;26.00;43;33
707;TNT118;T013402- EPSON DUPLO Preto Stylus 480/580/C20/C40;28.00;26;33
708;TNT429;C6578DE - HP DJ 930/950/970 Cr;30.00;19;33
709;REC111;Toner Reciclado MINOLTA  2300 Magenta;57.00;50;33
710;TNT139;T543700 - EPSON Preto Claro Photo Stylus Pro 7600/9600;48.00;38;33
711;PST049;Targus XL Preta. em nylon;70.00;45;45
712;HDD214;SAMSUNG de 40 GB 5.400 RPMs p/ Notebook - MP0402H;79.00;27;16
713;MP3067;Creative ZEN Nano PLUS FM 256MB Dark Blue - 70PF163100022;82.00;4;42
714;MP3054;Rio Cali 256 SPORT - LEITOR MP3+FM RADIO 256MB EXP SDCARD;52.00;4;42
715;TON802;SAMSUNG SCX-5112/5312F/SF-830/SF-835P - SCX-5312D6;68.00;46;33
716;TON446;C9700A - HP Toner Preto LaserJet 2500;73.00;46;33
717;DVD103;DVD+/-RW ASUS 16X. 6X Double layer Preto;53.00;43;9
718;COL080;Colunas COMEP 600W Sub-Woofer+2Sat. SP-6050;15.00;14;25
719;REC029;Toner Reciclado BROTHER TN-7600 HL 1650/1670/1850/5030/5040;43.00;44;33
720;REC058;Toner Reciclado HP Q2613A Laserjet 1300 / 1300N;33.00;21;33
721;HDD165;SAMSUNG 120 Gb 7200 RPM UDMA133;86.00;23;16
722;CAI078;Caixa MODDING XOXIDE X-HURRICANE BEIJE;74.00;21;7
723;PGR481;XFX FX5200 128MB DDR AGP8X TVOUT;49.00;43;17
724;TON436;C4191A - HP TONER Preto Lj.4500 (9000p.);79.00;5;33
725;WIR105;Edimax Wireless Access Point 11g (54Mbits)+Swicth 5 Portas;88.00;14;43
726;REC009;Toner Reciclado HP C3906A Laserjet 5L / 6L / 3100 / 3150;24.00;48;33
727;TNT618;Lexmark Cor N85 40/45/45N - 12A1985;42.00;27;33
728;TNT433;C6625AE - HP DJ 840C Cr;28.00;9;33
729;REC101;Toner Reciclado LEXMARK Optra M 410 / 412(10000 p.);56.00;8;33
730;REC423;Tinteiro Reciclado HP C4836 N11Cyan;18.00;42;33
731;ROU025;Router LINKSYS VPN COM 4PORTAS 10/100;83.00;36;30
732;TON429;Q2613X - HP TONER Laserjet 1300 (4000 pag);82.00;14;33
733;WBC055;Logitech QuickCam Notebooks Deluxe;55.00;4;28
734;DVD120;DVD+/-RW ASUS 16X. 6X Double layer BULK;56.00;27;9
735;REC083;Toner Reciclado SAMSUNG ML-6060D6 ML-6040/6060/6060N/6060S;62.00;24;33
736;WIR069;Placa Rede SMC ElliteConnect PCMCIA WL 54Mbps - SMC2536W-AG;93.00;8;43
737;PRE095;Placa Rede SMC EZ Networking PCI 10/100/1000Mbps - SMC9452TX;27.00;13;43
738;PCL043;HUB USB TITAN de 3conectores c/ Comunicao IR adicional;46.00;26;43
739;TNT137;T543500 - EPSON Azul Claro Stylus Pro 7600 / 9600;48.00;5;33
740;MBO340;ASUS A7V600-X VIA KT600/3DDR/FSB400/333/ATA 133/SATA*2/AGP8X;53.00;35;13
741;PGR460;ASUS A9550/TD RADEON 9550 128MB DDR TV-OUT. DVI. 2XVGA. AGP;64.00;16;17
742;MP3066;Creative ZEN Nano PLUS FM 256MB Cinza - 70PF163100028;82.00;39;42
743;TNT458;C5018A - HP No. 84- Magenta Claro;34.00;16;33
744;REC007;Toner Reciclado HP C3900A Laserjet 4V / 4MV;52.00;12;33
745;TNT619;Lexmark Cor Z42/Z51/Z52/Z821200p - 15M0125;44.00;39;33
746;WIR109;Access Point Wireless LINKSYS WAP54G 54MBPS 802.11G;83.00;32;43
747;SCA121;HP Scanjet 3800;89.00;23;26
748;REC075;Toner Reciclado HP C4149A Laserjet 8500 Black;77.00;36;33
749;FSM065;CompactFlash card KINGSTON 1Gb Elite Pro High-Speed;75.00;34;40
750;MBO370;ASUS A7V400-MX VIA KM400A 2DDR333/FSB400/133/VGA 64Mb/Rede;55.00;4;13
751;WIR131;D-Link Ethernet to Wireless Bridge a 22Mbps DWL-810+;83.00;26;43
752;PGR505;ASUS RADEON 9600 PRO 128MB DDR.TV-OUT. DVI. 2XVGA. AGP;93.00;30;17
753;CAI094;Caixa Aopen MidTower ATX- H500A 300W Branca;73.00;20;7
754;WIR079;Injector Corrente SMC EliteConnect P/SMC2582W-B- SMCPWR-INJ3;63.00;39;43
755;AFU051;MSI MEGA Cache 1.5GB USB 2.0 - MEGA CACHE15;103.00;18;29
756;FSM161;Secure Digital Card / SD KINGSTON 1Gb Elite Pro High-Speed;79.00;45;40
757;COO045;Gaveta Cooler Master CoolDrive6 Black C/Display LHD-V06-UK;79.00;34;43
758;TNT455;C5011DE - HP No. 14- Preto - 26ml;20.00;20;33
759;FON022;Fonte Alim. Q-TEC 350W Low Noise P3/P4/AMD - 13263;23.00;14;39
760;REC408;Tinteiro Reciclado HP C5010A N14Cres;17.00;3;33
761;PGR243;TV TUNER PROLINK  BT878P+ PCI TV + Radio FM;56.00;32;21
762;CPU273;AMD Sempron 2800+ ( 1.6ghz ) skt 754bus 333Mhz 256K L2;83.00;2;14
763;PGR494;MSI NX6200 TURBO CACHE (64Mb) TV-OUT/DVI NX6200TC-TD64E;95.00;19;17
764;TNT049;S020122- STYLUS COLOR 3000 / PRO 5000 - AMARELO;62.00;36;33
765;WIR089;ASUS WL-500G Wireless LAN Router  54Mbps c/ ant. Externa;87.00;42;43
766;REC044;Toner Reciclado EPSON S051070 EPL-N 2050 / N 2050+;103.00;40;33
767;IMP307;Epson Stylus Photo R200 Impr. CD - C11C546021CE;101.00;41;24
768;CAI088;Caixa MidTower TSUNAMI GALAXY C/LCD 400Watts S9;68.00;29;7
769;TNT432;C6615DE - HP DJ 840C Preto;26.00;10;33
770;PGR502;ASUS RADEON 9250 128MB DDR. TV-OUT. AGP. DVI;45.00;5;17
771;FSM099;Secure Digital Card / SD  Transcend 512Mb 45X;56.00;10;40
772;MBO405;ASROCK SK754FSB800 SATA/LAN ATX - K8UPGRADE-1689;55.00;49;13
773;MBO412;ASUS K8N NForce3250 Skt754.3DDR.SATA.AGP8x.RAID.Rede10/100;76.00;23;13
774;TON042;S050095 - Epson Preto EPL-6100 / 6100L;74.00;36;33
775;PDA071;Bateria Qtek 9090 1400mha;68.00;44;6
776;TON447;C9701A - HP Toner Cyan LaserJet 2500;84.00;33;33
777;CAM209;Binoculos c/ camera digital TRUST 580Z - 13997;86.00;16;37
778;TON449;C9702A - HP Toner Amarelo LaserJet 2500;86.00;15;33
779;WIR152;D-Link Antena omnidireccional 7dBi interior ANT24-0700;94.00;25;43
780;CAI133;SUPER CASE LYRA Black 360W ATX2.0 20+4+TEC/MOUSE WIRL;101.00;35;7
781;REC051;Toner Reciclado EPSON SO50098 C900 / C1900 Magenta;59.00;11;33
782;MBO410;ASUS A8V Via K8T800Pro Skt939.4DDR.SATA.AGP8x.RAID.Rede1000;97.00;24;13
783;IMP373;HP PhotoSmart 7450 - Q3409A;86.00;28;24
784;PRE064;Placa Rede EDIMAX PCI 32Bit 10/100Base-TX Fast Ethernet NIC;7.00;35;43
785;REC002;Toner Reciclado HP 92275A Laserjet IIP / IIP+ / IIIP;33.00;20;33
786;FSM077;Memory Stick SAN DISK 256MB PRO DUO;45.00;16;40
787;PGR508;ASUS NVIDIA FX5200 128MB 64bits.TV-OUT. DVI. AGP;49.00;13;17
788;WIR096;D-Link Access Point WIFI - 802.11g 108Mbps DWL-2100AP;105.00;50;43
789;TON044;S051099 - Unidade Fotocondutora EPSON Laser EPL6100;83.00;8;33
790;FSM086;Multimedia card 1024MB (1Gb);66.00;25;40
791;COL109;COLUNAS Creative TravelSound I300;92.00;26;25
792;MBO424;ASUS K8U-X SK754AGP8x Sata 800 - K8U-X;62.00;34;13
793;MBO341;ASUS A7V880 VIA KT880+VT8237/4DDR 400/333/SATA*2/AGP8X/REDE;64.00;35;13
794;REC047;Toner Reciclado EPSON SO50035 C1000 / C2000 Magenta;80.00;40;33
795;HDD206;MAXTOR 160 GB SATA 8MB Buf. - MXT6Y160M0;103.00;42;16
796;TON808;SAMSUNG ML-6060;105.00;36;33
797;FSM097;Secure Digital Card / SD  Transcend 128Mb 45X;22.00;8;40
798;WIR113;Placa Rede Wireless LINKSYS WMP54G 54MBPS PCI;64.00;24;43
799;HDD210;MAXTOR 80GB 7200 RPM ATA133IDE 6Y080L0;68.00;8;16
800;WIR064;D-Link Wireless LAN Adapter PCMCIA 54Mbps DWL-G650+;35.00;32;43
801;FSM119;Multimedia card Transcend 512MB MMC;53.00;26;40
802;TNT145;T544700 - EPSON Preto Claro Stylus Pro 7600/9600 220Ml;75.00;33;33
803;WIR073;Router WL SMC Barricade 54Mbps 4P 10/100+PS+FW - SMC2804WBRP;82.00;2;43
804;PGR500;ASUS RADEON X300SE 64MB .TV-OUT. DVI. PCI-E;54.00;18;17
805;REC064;Toner Reciclado HP C4192A Laserjet 4500 / 4550 Cyan;58.00;44;33
806;TNT131;T032540 - EPSON Stylus C70 / C80 3Cores;43.00;48;33
807;CAL017;Calculadora Grfica HP 40G;96.00;22;44
808;HDD153;SEAGATE 120GB 7200RPM Serial - ATA;101.00;8;16
809;WIR050;Wireless MSI Gateway 54MBIT c/USB Printer Server - RG54GS;91.00;15;43
810;REC414;Tinteiro Reciclado HP C6656A N56 Preto;10.00;30;33
811;SCA100;Scanner HP 2400 C;82.00;2;26
812;MED052;Mini CD-R Verbatim 8cm Datalife 210MB - Pack 5 Slim cores;6.00;7;33
813;TNT102;T054140 - EPSON Photo R800 Preto;15.00;22;33
814;PRE103;Switch LINKSYS EZXS88W 8P 10/100Mbps RJ-45;51.00;23;43
815;CAI108;Caixa MidTower TSUNAMI HELIX SILVER/BLACK 350Watts;50.00;23;7
816;MEM059;128 Mb DIMM SDRAM 133MHZ  Registered ECC Kingston 10 Anos;72.00;12;15
817;PRE100;Placa Rede LINKSYS PCM200 10/100 PCMCIA (RJ45 - 32BITS);42.00;11;43
818;UPS044;UPS MGE Stand-By Ellipse 300 - 66171;82.00;44;27
819;MEM045;512Mb DIMM DDR PC 266 Kingston Garantia de 10 Anos;58.00;31;15
820;REC103;Toner Reciclado LEXMARK Optra T 520 / 522(20000 p.);104.00;39;33
821;RAT090;Mouse Logitech Cordless Optical MX-700 - 930754-0914;73.00;17;20
822;PGR532;XFX NX6200 256MB DDR AGP8X DVI/TV-O c/Low Profile;95.00;50;17
823;TON041;S050033- Epson Aculaser C1000 / C2000 Preto;72.00;31;33
824;MBO392;MSI Chip. intel 865PENeo3-F SK775/DualDDR/AGP8X/SATA/Glan;93.00;33;13
825;ROU031;Router D-Link ADSL com Switch de 4portas RDIS DSL-564T;62.00;6;30
826;PSO080;Auscultadores c/ mic. TRUST M. Funcion Headset;6.00;45;44
827;COL111;Colunas PHILIPS MMS260 5.1BLACK;60.00;34;25
828;HDD232;Seagate 200GB 7200RPM UDMA/100 IDE;117.00;24;16
829;UPS062;UPS MUSTEK POWER MUST 1000VA USB;97.00;19;27
830;MBO389;MSI Chip. ATI RS480 SK939 VGA/SOM/LAN m-ATX BULK;119.00;32;13
831;TNT144;T410011- EPSON Azul Stylus Pro 9000;76.00;32;33
832;TON408;C3906A - HP TONER LJ 5L/6L;62.00;24;33
833;TNT151;T408011- EPSON Amarelo Stylus Pro 9000;76.00;10;33
834;TON413;C4127X - HP TONER LJ4000 mx. capacidade;117.00;1;33
835;TON428;Q2613A - HP TONER Laserjet 1300 (2500 pag);65.00;10;33
836;MEM092;512MB SO-DIMM DDR 400MHz;66.00;4;15
837;REC559;Tinteiro Reciclado CANON BCI-8 PM Magenta;5.00;7;33
838;TNT091;T048240 - EPSON Azul Photo R300/RX500;14.00;42;33
839;FSM107;CompactFlash Transcend 128Mb 45X;22.00;8;40
840;REC001;Toner Reciclado HP 92274A Laserjet 4L / 4ML / 4P / 4MP;26.00;42;33
841;FSM064;CompactFlash card KINGSTON 1Gb;66.00;41;40
842;MEM091;2x 256 MB DIMM DDR PC400 Kingston p/ boards DDR Dual Channel;59.00;17;15
843;MBO423;Foxconn - 915P7AD-8KS;104.00;39;13
844;SCA124;HP Scanjet 4370;104.00;18;26
845;HDD243;HITACHI 160GB SATA2Cache 8MB;103.00;50;16
846;TNT617;Lexmark Preto N75 Optra Color 40/45/45N - 12A1975;34.00;25;33
847;TON452;Q2673A - HP Toner Magenta LaserJet 3500;117.00;33;33
848;COL119;Colunas Creative Desktop Inspire 5.1T6060 - 51MF4075AA000;80.00;5;25
849;WIR130;D-Link Access Point 1porta LAN + Bridging 22Mbps DWL-900AP+;59.00;10;43
850;REC015;Toner Reciclado HP C4182X Laserjet 8100/N/DN/8150/N/DN/MFP;71.00;43;33
851;MBO393;MSI Chip. intel 915P Combo-FR Sk. LGA775;118.00;45;13
852;CPU266;Intel Celeron D 345J 3.06GHz 256K skt 775 FSB 533Mhz;127.00;38;14
853;WIR160;D-Link Antena direccional 12dBi exterior parede ANT24-1201;86.00;6;43
854;MBO330;MSI Ch.Intel 865PENeo2-PFS 800/DualDDR/AGP8X/SATA/Glan;104.00;8;13
855;HDD209;MAXTOR 40GB 7200 RPM ATA133IDE - 6E040L0;57.00;21;16
856;WIR172;D-Link WL Router 54Mbps/Switch 4portas RDIS DSL-G664T;105.00;35;43
857;TEC060;LOGITECH Cordless Desktop MX3000;127.00;26;19
858;CPU308;Intel CeleronD 3312660/256Kb SK775 BOX FSB533;95.00;30;14
859;IMP302;HP Deskjet 6540 - C8963B;106.00;39;24
860;TON015;S050010 - EPSON TONER EPL 5700;113.00;25;33
861;CAI116;"Caixa SILVERSTONE """"LA SCALA"""" Desktop Black - SSTLC10B""""";121.00;18;7
862;AFU061;FLASH DRIVE KINGSTON Mini HDD 1GB USB 2.0 - KUSBDTE/1GB;114.00;49;29
863;TNT127;T016401- EPSON Cor Stylus Photo 2000P;39.00;16;33
864;TON430;Q2610A - HP TONER Laserjet 2300 (6000 pag);109.00;20;33
865;TON438;C4193A - HP TONER Magenta Lj4500 (6000p.);114.00;41;33
866;FSM104;Mini SD Card Transcend 128Mb;24.00;20;40
867;TON039;S052003- Rolo Epson de Oleo P/ Laser C2000 / C1000;47.00;28;33
868;REC045;Toner Reciclado EPSON SO50033C1000 / C2000 Black;58.00;39;33
869;REC042;Toner Reciclado EPSON SO51056 EPL-N 1600;54.00;22;33
870;REC089;Toner Reciclado KYOCERA TK 30H FS 7000/9000;61.00;9;33
871;REC061;Toner Reciclado HP Q1338A Laserjet 4200;67.00;35;33
872;PGR349;Placa Pinnacle Studio DV CLIP;54.00;31;21
873;WIR138;Adaptador USB - 802.11g 54Mbps DWL-G120;80.00;39;43
874;CAM256;KODAK EasyShare CX7300;110.00;32;37
875;REC076;Toner Reciclado HP C4150A Laserjet 8500 Yellow;131.00;48;33
876;REC037;Toner Reciclado EPSON S051020 EPL 3000;51.00;2;33
877;REC022;Toner Reciclado LEXMARK Optra E 320/322- Elevada Capacidade;87.00;15;33
878;MED054;DVD+R Double Layer 85GB Pack 5 JC 2.4x;46.00;7;33
879;PRE086;"Switch SMC EZ Networking 24x10/100 Rack 19"""" - SMC-EZ1024DT""""";124.00;32;43
880;WIR116;Placa Rede Wireless LINKSYS WUSB54G USB 54MBPS;64.00;23;43
881;TON046;S051072- Unidade Fotocondutora ACULASER C2000 / C1000;97.00;48;33
882;TON423;C8061X - HP TONER  Laserjet 4100 (10000 p.);117.00;10;33
883;PSO092;Placa de Som Sound Blaster Audigy 2ZS Notebook PCMCIA;125.00;39;18
884;AFU091;Dispositico Apontador MULTI c/ USB Drive 128MB - MT-LU-128;34.00;44;29
885;DVD125;PHILIPS 16X DOUBLE LAYER 8.5GB Branco;49.00;38;9
886;MBO372;ASUS P4P800S-X  Intel 848+ICH5/FSB800/2DDR400/SATA*2/AGP8x;66.00;25;13
887;TEC052;MICROSOFT Wirl.Black c/ScrDuplo NTL;65.00;40;19
888;JOY034;Volante Trust Race Master Force Feed Back NF380 Ref: 12933;64.00;22;44
889;TON812;SAMSUNG Magenta CLP500 - CLP-500D5M/SEE;117.00;3;33
890;PGR527;MSI RADEON X300 HYPER MEM. 128MB PCI-E TV-OUT/DVI;57.00;41;17
891;MBO414;ASUS P4GPL-X IS760/965L Skt754.2DDR.SATA.AGP8x.RAID.Rede;99.00;13;13
892;PGR520;ASUS NVIDIA GeForce 6600 128MB TV-OUT.DVI.2XVGA. PCI-e;128.00;31;17
893;MP3059;Creative MuVo MP3Slim 512mb;129.00;14;42
894;MBO421;MSI Chip. intel 945P DDR Sk. LGA775 Dual-Core Ready;132.00;50;13
895;HDD166;SAMSUNG 160 Gb 7200 RPM UDMA133;89.00;26;16
896;CPU309;Intel CeleronD 3412930/256Kb SK775 BOX FSB533;111.00;36;14
897;REC091;Toner Reciclado LEXMARK Optra L / R series / 4049;68.00;30;33
898;FSM069;Secure Digital Card / SD TWINMOS 1024Mb Ultra X;66.00;39;40
899;MEM089;512MB DIMM DDR PC400 Kingston Garantia de 10 Anos;59.00;7;15
900;REC098;Toner Reciclado LEXMARK Optra E 210;53.00;4;33
901;HDD235;Seagate 200GB 7200RPM Serial - ATA;127.00;4;16
902;WIR140;D-Link AP IEEE 802.11g 54Mbps. com 1porta LAN DWL-2000AP+;67.00;19;43
903;ROU026;Router D-Link VPN + 8 IPSec Tunnels + Switch 4p DI-804HV;90.00;21;30
904;REC096;Toner Reciclado LEXMARK Optra Se 3455 / 3455N;88.00;39;33
905;IMP400;Epson Multifunes  Stylus DX3800;91.00;37;24
906;MBO313;MSI KT6 Delta-FISR KT600 DDR RAID/Firewire/SATA/GLAN;97.00;30;13
907;WIR087;Jumper SMC lig.AccessPoint 2555W/cabos ext. SMC2555W-JMPRCBL;17.00;4;43
908;REC413;Tinteiro Reciclado HP 6628A N19 Preto;19.00;4;33
909;REC016;Toner Reciclado CANON FX-3L250/300/350/400/450/450IF/460;25.00;6;33
910;REC429;Tinteiro Reciclado HP C9363A N344Cres (HC);20.00;30;33
911;PCL069;Placa CONCEPTRONICS SATA 2Portas Internas PCI - CSATAI2;25.00;7;43
912;TON023;S051055 - EPSON UNIDADE DE REVELAO EPL 5700;80.00;16;33
913;WIR142;D-Link 802.11a.b.g Wir LAN Adapter PCMCIA 54Mbps DWL-AG650;95.00;42;43
914;REC070;Toner Reciclado HP C9703A Laserjet 2500 Magenta;61.00;20;33
915;TON404;92298A - HP TONER LJ4/4+/4M/4M+;96.00;44;33
916;WIR110;Router LINKSYS WAG54G 4P 10/100 Wireless Firewall Modem ADSL;139.00;25;43
917;TON411;C4096A - HP TONER LJ2100;92.00;31;33
918;PGR487;ASUS RADEON X700LE 128MB TV-OUT. DVI. PCI-E;115.00;6;17
919;TON454;C9720A - HP Toner Preto LaserJet 4600;141.00;14;33
920;TNT465;C4813A - HP Inkjet 22xxDesignJet 500/800.PrintHead. Amarelo;29.00;2;33
921;MED061;DVD+R PrimeDisk 4.7GB general use single jewel case 2X;1.00;32;33
922;TON602;Lexmark Optra E310 / E312/ E312L - 13T0301;86.00;36;33
923;CAI110;Caixa Cooler Master Desktop Silver - ATC-620C-BX1;95.00;49;7
924;PGR498;Transcend USB 2.0 TV Box PAL System;81.00;39;17
925;HDD188;MAXTOR 200GB 7200RPM 8Mb Buf. SATA - 6Y200M0;114.00;11;16
926;AFU080;Transcend JetFlash Wireless 128MB USB 2.0;46.00;18;29
927;FSM121;Transcend SmartMedia card 64MB;15.00;28;40
928;TNT406;51633ME - HP DJ 310 320. 340 Preto;24.00;11;33
929;WIR139;Adaptador USB DONGLE - 802.11g 54Mbps DWL-G122;40.00;49;43
930;REC090;Toner Reciclado KYOCERA TK-60 FS 1800/1800+/3800;46.00;41;33
931;CPU241;Intel Celeron D 330 2.667GHz 256K skt 478 bus 533Mhz BOX;89.00;24;14
932;PGR533;MSI GF NX6600LE TD256MB DDR PCI-E DVI/TV-O;112.00;46;17
933;TON400;92274A - HP TONER 4L/ML 4P/MP;90.00;33;33
934;RAT121;Mouse Logitech Optical MX-518 - 931352-0914;55.00;37;20
935;CAI098;Caixa Cooler Master Cavalier 2Desktop Silver;145.00;20;7
936;WIR007;Wireless Longshine Access Point54Mbps - LCS-883R-AC-G;100.00;48;43
937;COL107;Colunas Creative Desktop Inspire 5.1P5800 - 51MF4050AA000;79.00;39;25
938;MP3038;Creative MuVo MP3Slim 256mb;98.00;36;42
939;TON801;SAMSUNG ML-1210 1220M. 1250. ML-1210D3/ SEE;67.00;15;33
940;TON609;Lexmark Preto C750 Prebate - 10B041K;112.00;24;33
941;TNT148;T544500 - EPSON Azul Claro Stylus Pro 7600 / 9600 220Ml;75.00;36;33
942;MP3055;Rio ForgeSport - Leitor MP3256MB - Expansivel via SD/MMC;146.00;2;42
943;TON409;C3909A - HP TONER 5si;151.00;30;33
944;MP3061;SAMSUNG YEPP 256Mb FM LCD;118.00;39;42
945;TNT033;S020047 - STYLUS 820/200 COLOR II/IIs/200 - PRETO;19.00;8;33
946;PRE084;"Switch SMC EZ Networking 8x10/100 Rack 19"""" - SMC-EZ108DT""""";46.00;9;43
947;TNT409;51641AE - HP DJ 820 850 e 870 Cr;26.00;18;33
948;CAI087;Caixa MidTower ASUS TA-236 ATX 300w;51.00;9;7
949;WIR120;Placa Rede Wireless LINKSYS WMP54GS 54MBPS 802.11G PCI;82.00;8;43
950;TON601;Lexmark Optra E210 - 10S0150;80.00;4;33
951;WIR119;Placa Rede Wireless LINKSYS WPC54GS 54MBPS 802.11G PCMCIA;82.00;15;43
952;TEC072;Microsoft MultiMedia PS/2- K49-00008;35.00;15;19
953;COL117;Colunas Logitech X-530 - 970114-0914;73.00;50;25
954;TNT042;S020191- EPSON STYLUS COLOR 440/640/740 - COR;27.00;8;33
955;REC109;Toner Reciclado MINOLTA  2300 Cyan;57.00;31;33
956;PGR484;XFX NX6600 256MB DDR PCI-EXPRESS DVI/TV-OUT;130.00;36;17
957;CAI119;"Caixa SILVERSTONE """"TEMJIN"""" Tower Black - SST-TJ05B""""";138.00;5;7
958;MP3041;Creative MuVo MP3TX 256mb;79.00;1;42
959;TON405;92298X - HP TONER LJ4/4+/4M/4M+ grande capacidade;99.00;9;33
960;HDD229;MAXTOR 250GB 7200RPM 16MB CACHE;145.00;27;16
961;MP3040;Creative MuVo MP3TX 128mb;59.00;23;42
962;CAI109;Caixa Cooler Master Desktop Black - ATC-620C-BX1;95.00;5;7
963;MBO427;ASUS P5LD2Intel 945P/skt775/DDR27SATA2;143.00;11;13
964;WIR171;D-Link WL Router 54Mbps/Switch 4portas Analgico DSL-G604T;122.00;32;43
965;DVD124;DVD de mesa Pioneer DV-380 DVD/DivX/MP3/WMA/JPEG DTS;108.00;39;8
966;FSM163;Secure Digital Card / SD KINGSTON 1Gb ULTIMATE Hi-speed;129.00;1;40
967;TNT068;T007401- EPSON STYLUS PHOTO 870 / 875DC / 1270 - PRETO;23.00;47;33
968;HDD137;SEAGATE 80GB 7200RPM UDMA100;67.00;24;16
969;IMP390;HP Deskjet 5440 - C9045B;85.00;29;24
970;MBO353;ASUS P4S800D SIS 655FX/FSB800/533/4DDR 400/333/SATA;58.00;28;13
971;REC403;Tinteiro Reciclado HP 51641A N41Preto;18.00;17;33
972;MBO422;Foxconn - 655A01-FX-6LRS;66.00;34;13
973;CAI071;Caixa MidTower TSUNAMI BLADE BLUE 300 Watts P4/P3/AMD;37.00;6;7
974;TON803;SAMSUNG SCX-4016/4116/4216F -SCX-4216D3;75.00;17;33
975;ROU027;D-Link Internet Switch c/7 portas UTP+Print Server DI-707P;72.00;8;30
976;REC069;Toner Reciclado HP C9702A Laserjet 2500 Yellow;61.00;30;33
977;CPU297;AMD Opteron 1421.6 GHZ 1MB Cache;110.00;15;14
978;FSM131;Memory Stick Duo Pro Transcend 256Mb;55.00;37;40
979;CPU286;Intel Celeron D 326 2.5GHz LGA 775 64bits 256K Cache bus 5;86.00;14;14
980;SCA122;HP Scanjet 4850;158.00;31;26
981;WIR083;Antena WL SMC EZ Connect Alto Ganho 10.5dBI - SMCANT-DI105;141.00;45;43
982;MBO400;MSI K8N NEO2Platinum SK939 nForce3Raid/SATA/GLan/Wireless;136.00;1;13
983;CAI112;Caixa MidTower TSUNAMI HELIS BLACK 350W USB2.0+FAN;46.00;16;7
984;REC034;Toner Reciclado CANON FX-6 Fax L 1000 / LC-3170 / 3175;39.00;6;33
